,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.485,NA,NA,NA,NA,64.399,NA,NA,NA,NA,65.142,NA,NA,NA,NA,65.634,NA,NA,NA,NA,67.065,NA,NA,NA,NA,68.481,NA,NA,NA,NA,69.942,NA,NA,NA,NA,70.774,NA,NA,NA,NA,71.868,NA,NA,NA,NA,73.275,NA,NA,NA,NA,74.34,NA,NA,NA,NA,75.32,NA,NA,NA,NA,76.222
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.809,NA,NA,NA,NA,64.928,NA,NA,NA,NA,67.055,NA,NA,NA,NA,69.211,NA,NA,NA,NA,70.786,NA,NA,NA,NA,70.595,NA,NA,NA,NA,70.916,NA,NA,NA,NA,68.408,NA,NA,NA,NA,68.663,NA,NA,NA,NA,70.377,NA,NA,NA,NA,71.403,NA,NA,NA,NA,71.965,NA,NA,NA,NA,72.675
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.437,NA,NA,NA,NA,64.381,NA,NA,NA,NA,66.606,NA,NA,NA,NA,68.336,NA,NA,NA,NA,70.941,NA,NA,NA,NA,71.83,NA,NA,NA,NA,74.116,NA,NA,NA,NA,74.494,NA,NA,NA,NA,74.108,NA,NA,NA,NA,73.011,NA,NA,NA,NA,73.451,NA,NA,NA,NA,74.239,NA,NA,NA,NA,74.977
Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.04,62.89,61.73,62.53,63.22,62.94,62.91,62.96,63.15,64.96,65.39,65.69,65.52,64.88,65.15,65.27,65.83,65.87,65.82,66.26,66.14,65.88,66.4,68.03,68.46,67.98,68.59,68.51,69.13,69.02,68.72,69.12,69.7,69.85,70.17,70.05,70.33,70.88,70.45,70.89,71.16,70.93,70.99,70.65,70.98,70.82,71.1,70.73,71.14,70.81,71.41,71.93,72.14,71.89,72.84,72.88,73.49,73.88,74.44,74.6,74.97,74.74,75.55,76.02,75.46,76.13,76.32,76.36,76.46,77.06,77.55,77.56,78.1,78.1,78.49,78.56,78.83,79.33,79.58,79.99,80.35,80.37,80.78,81.15,81.235,NA,NA,NA,NA,81.959
Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.31,63.24,63.43,64.88,65.26,66.8,67.29,67.32,67.6,67.72,67.48,68.49,68.42,68.78,69.75,69.54,69.67,70.16,69.95,70.26,70.14,70.29,70.06,70.11,70.31,70.63,71.21,71.2,71.33,71.82,72.17,72.25,72.56,72.7,73.02,73.18,73.25,73.79,74.01,74.49,74.94,75.41,75.5,75.77,75.83,76.04,76.27,76.6,76.84,77.1,77.51,77.88,78.06,78.35,78.85,78.98,78.98,79.49,79.66,NA,NA,NA,NA,80.442
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.961,NA,NA,NA,NA,60.008,NA,NA,NA,NA,62.068,NA,NA,NA,NA,64.111,NA,NA,NA,NA,65.627,NA,NA,NA,NA,65.152,NA,NA,NA,NA,65,NA,NA,NA,NA,66.089,NA,NA,NA,NA,65.623,NA,NA,NA,NA,66.328,NA,NA,NA,NA,66.844,NA,NA,NA,NA,67.487,NA,NA,NA,NA,68.566
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.846,NA,NA,NA,NA,62.405,NA,NA,NA,NA,64.209,NA,NA,NA,NA,65.795,NA,NA,NA,NA,66.515,NA,NA,NA,NA,67.199,NA,NA,NA,NA,67.874,NA,NA,NA,NA,69.524,NA,NA,NA,NA,69.171,NA,NA,NA,NA,68.472,NA,NA,NA,NA,71.068,NA,NA,NA,NA,73.495,NA,NA,NA,NA,75.416
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.939,NA,NA,NA,NA,53.832,NA,NA,NA,NA,56.923,NA,NA,NA,NA,59.923,NA,NA,NA,NA,63.3,NA,NA,NA,NA,65.593,NA,NA,NA,NA,69.052,NA,NA,NA,NA,70.75,NA,NA,NA,NA,72.601,NA,NA,NA,NA,73.925,NA,NA,NA,NA,74.795,NA,NA,NA,NA,75.635,NA,NA,NA,NA,76.392
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.484,NA,NA,NA,NA,39.348,NA,NA,NA,NA,41.216,NA,NA,NA,NA,43.453,NA,NA,NA,NA,45.252,NA,NA,NA,NA,46.923,NA,NA,NA,NA,50.009,NA,NA,NA,NA,52.819,NA,NA,NA,NA,56.018,NA,NA,NA,NA,59.412,NA,NA,NA,NA,62.013,NA,NA,NA,NA,64.062,NA,NA,NA,NA,66.174
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.22,NA,NA,NA,NA,62.57,NA,NA,NA,NA,65.87,NA,NA,NA,NA,67.62,NA,NA,NA,NA,69.42,NA,NA,NA,NA,71.27,NA,NA,NA,NA,72.695,NA,NA,NA,NA,74.027,NA,NA,NA,NA,74.894,NA,NA,NA,NA,74.912,NA,NA,NA,NA,75.97,NA,NA,NA,NA,77.296,NA,NA,NA,NA,78.25
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,NA,NA,NA,NA,67.9,NA,NA,NA,69.06,71.85,72.57,71.29,71.95,73.48,73.02,73.38,73.13,73.24,72.84,72.32,72.96,72.67,72.71,73.01,72.08,71.92,71.86,71.72,71.32,71.08,71.36,71.49,71.28,70.65,70.86,72.25,72.15,71.89,71.68,71.15,70.58,70.17,69.05,68.82,68.43,68.56,68.37,68.38,67.97,69,68.6,68.16,68.7,69.1,68.87,NA,NA,NA,NA,69.855
Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.33,38.66,40.36,41.9,41.03,37.83,35.11,38.04,34.5,42.28,41.88,41.77,41.33,39.78,37.49,40.92,40.49,40.18,38.98,45.12,41.27,43.12,41.33,39.81,37.74,32.47,43.08,42.56,42.58,40.92,34.35,40.04,43.48,44.67,42.17,43.68,44.48,44.24,43.84,42.48,44.42,45.54,44.89,44.24,45.48,43.36,46.06,44.92,45.07,44.14,44.06,43.16,44.44,46.65,45.46,48.06,48.82,48.12,46.49,46.59,49.44,49.18,49.26,49.32,50.01,49.74,51.11,49.7,50.7,51.37,49.25,52.26,52.51,NA,NA,NA,NA,NA,49.86,53.66,54.75,55.15,56.77,57.51,57.16,56.97,57.2,57.53,55.07,57.17,58.51,58.59,58.76,60.42,60.01,60.01,60,60.15,60.01,55.96,58.95,59.2,60.39,56.94,58.39,61.92,63.46,64.98,65.48,66.35,66.8,68,68.37,68.63,68.58,68.87,69.24,69.93,70.33,69.65,70.52,70.25,70.06,70.73,70.58,70.65,70.94,70.63,70.71,70.97,71.1,71.44,71.65,72.01,72,72.15,72.8,72.75,73.24,73.29,73.7,73.93,73.93,74.43,74.54,74.74,75.35,75.66,75.73,76.14,76.3,76.46,76.48,76.82,76.97,77.31,77.53,77.62,77.8,77.91,78.22,78.32,78.47,79.11,79.2,NA,NA,NA,NA,80.082
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.673,NA,NA,NA,NA,60.18,NA,NA,NA,NA,62.678,NA,NA,NA,NA,65.184,NA,NA,NA,NA,67.589,NA,NA,NA,NA,69.747,NA,NA,NA,NA,71.031,NA,NA,NA,NA,71.879,NA,NA,NA,NA,72.522,NA,NA,NA,NA,74.405,NA,NA,NA,NA,75.586,NA,NA,NA,NA,76.121,NA,NA,NA,NA,76.203
Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.223,NA,NA,NA,NA,40.358,NA,NA,NA,NA,42.618,NA,NA,NA,NA,44.885,NA,NA,NA,NA,47.014,NA,NA,NA,NA,49.19,NA,NA,NA,NA,50.904,NA,NA,NA,NA,52.337,NA,NA,NA,NA,53.919,NA,NA,NA,NA,54.777,NA,NA,NA,NA,54.406,NA,NA,NA,NA,56.728,NA,NA,NA,NA,59.253
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.101,NA,NA,NA,NA,36.614,NA,NA,NA,NA,37.736,NA,NA,NA,NA,39.491,NA,NA,NA,NA,41.837,NA,NA,NA,NA,44.708,NA,NA,NA,NA,47.872,NA,NA,NA,NA,50.717,NA,NA,NA,NA,54.471,NA,NA,NA,NA,58.929,NA,NA,NA,NA,63.458,NA,NA,NA,NA,65.625,NA,NA,NA,NA,67.572
Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.414,NA,NA,NA,NA,41.89,NA,NA,NA,NA,43.428,NA,NA,NA,NA,45.032,NA,NA,NA,NA,46.714,NA,NA,NA,NA,50.023,NA,NA,NA,NA,53.859,NA,NA,NA,NA,57.251,NA,NA,NA,NA,59.957,NA,NA,NA,NA,62.05,NA,NA,NA,NA,63.883,NA,NA,NA,NA,65.554,NA,NA,NA,NA,67.191
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.82,NA,NA,NA,NA,58.45,NA,NA,NA,NA,61.93,NA,NA,NA,NA,64.79,NA,NA,NA,NA,67.45,NA,NA,NA,NA,69.86,NA,NA,NA,NA,70.69,NA,NA,NA,NA,71.14,NA,NA,NA,NA,72.178,NA,NA,NA,NA,73.244,NA,NA,NA,NA,74.09,NA,NA,NA,NA,74.852,NA,NA,NA,NA,75.522
Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.622,NA,NA,NA,NA,49.618,NA,NA,NA,NA,51.52,NA,NA,NA,NA,53.298,NA,NA,NA,NA,56.024,NA,NA,NA,NA,59.319,NA,NA,NA,NA,61.484,NA,NA,NA,NA,63.622,NA,NA,NA,NA,62.745,NA,NA,NA,NA,52.556,NA,NA,NA,NA,46.634,NA,NA,NA,NA,50.728,NA,NA,NA,NA,52.037
Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.917,NA,NA,NA,NA,53.285,NA,NA,NA,NA,55.665,NA,NA,NA,NA,57.632,NA,NA,NA,NA,59.504,NA,NA,NA,NA,61.489,NA,NA,NA,NA,63.336,NA,NA,NA,NA,65.205,NA,NA,NA,NA,67.057,NA,NA,NA,NA,69.388,NA,NA,NA,NA,71.006,NA,NA,NA,NA,72.39,NA,NA,NA,NA,73.548
